סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
הדר ירושלים,"290,000","290,005","252,137","-37,863",86.94%,0.869423769,650,682.05,104.93%,370,446,82.86%
הזהב,"190,000","189,999","160,876","-29,124",84.67%,0.846719299,500,524.5,104.90%,307,380,80.72%
הקניון הגדול פתח תקווה,"320,000","320,013","259,476","-60,524",81.09%,0.810830997,650,525.25,80.81%,494,492,100.34%
הרודס אילת,"220,000","220,007","197,773","-22,227",89.90%,0.898940625,500,556.7166667,111.34%,355,440,80.74%
הרצל נתניה,"160,000","159,991","132,806","-27,194",83.00%,0.830081755,350,328.8166667,93.95%,404,457,88.36%
וילג' חדרה,"170,000","170,004","109,077","-60,923",64.16%,0.641615962,450,472.65,105.03%,231,378,61.09%
זכרון,"240,000","240,002","190,390","-49,610",79.33%,0.793285639,600,509.0666667,84.84%,374,400,93.50%
חולון אאוטלט,"230,000","229,989","179,063","-50,937",77.85%,0.778570106,550,557.8833333,101.43%,321,418,76.76%
חונים קונים כאסח,"250,000","217,755","225,494","-24,506",90.20%,1.035539115,600,696.75,116.13%,324,363,89.17%
חוצות המפרץ,"460,000","460,009","411,580","-48,420",89.47%,0.894722429,750,715.2,95.36%,575,613,93.83%
טייבה,"160,000","159,991","115,096","-44,904",71.93%,0.719388653,350,427.95,122.27%,269,457,58.84%
טמרה,"180,000","179,986","137,653","-42,347",76.47%,0.764798818,350,366.7166667,104.78%,375,514,72.99%
ים המלח,"150,000","150,009","121,015","-28,985",80.68%,0.806719663,500,368.2,73.64%,329,300,109.55%
יס פלאנט באר שבע,"70,000","69,998","43,529","-26,471",62.18%,0.621862482,350,302.1,86.31%,144,200,72.05%
ישפרו סנטר מודיעין,"320,000","320,013","292,231","-27,769",91.32%,0.913185496,650,379.8833333,58.44%,769,492,156.25%
כפר סבא הירוקה,"190,000","189,999","136,436","-53,564",71.81%,0.7180882,550,463.6833333,84.31%,294,345,85.18%
כרכור,"400,000","399,993","355,875","-44,125",88.97%,0.889702395,900,732.4,81.38%,486,444,109.33%
כרמי גת,"140,000","139,996","147,825","7,825",105.59%,1.055920169,450,453.6833333,100.82%,326,311,104.73%
כרמיאל,"460,000","460,009","435,018","-24,982",94.57%,0.945673432,600,506.5333333,84.42%,859,767,112.02%
מגדל,"80,000","80,011","61,088","-18,912",76.36%,0.763489145,200,122.0833333,61.04%,500,400,125.08%
מודיעין עזריאלי,"320,000","320,013","243,031","-76,969",75.95%,0.759441304,600,596.5666667,99.43%,407,533,76.38%
מול הים,"320,000","320,013","373,594","53,594",116.75%,1.167434854,800,872.8666667,109.11%,428,400,107.00%
מיגייט גאולה,"140,000","139,996","107,412","-32,588",76.72%,0.767253564,400,350.55,87.64%,306,350,87.55%
מיי בייבי,"150,000","150,009","121,959","-28,041",81.31%,0.813012686,300,136.8,45.60%,892,500,178.29%
מלחה - ירושלים,"330,000","329,995","266,590","-63,410",80.78%,0.807861604,600,536.1333333,89.36%,497,550,90.41%
מלכת שבא,"570,000","569,997","737,335","167,335",129.36%,1.293576528,"1,200",1271.866667,105.99%,580,475,122.05%
ממילא,"290,000","290,005","298,977","8,977",103.10%,1.030936156,700,663.3666667,94.77%,451,414,108.79%
מעלה אדומים,"160,000","159,991","144,780","-15,220",90.49%,0.904923652,400,461.75,115.44%,314,400,78.39%
מרום נווה,"140,000","139,996","115,647","-24,353",82.60%,0.826071316,450,405.1333333,90.03%,285,311,91.76%
נהריה,"200,000","200,012","177,976","-22,024",88.99%,0.88982786,400,340.4333333,85.11%,523,500,104.55%
נוף הגליל,"290,000","290,005","237,964","-52,036",82.06%,0.820550818,600,595.4833333,99.25%,400,483,82.68%
"נמל ת""א","110,000","109,988","89,559","-20,441",81.42%,0.814258374,400,382.0333333,95.51%,234,275,85.26%
נעלי איה,,,"11,381","11,381",,,,,,,,
נצרת,"380,000","379,998","314,478","-65,522",82.76%,0.827578303,500,426.2333333,85.25%,738,760,97.08%
סבן רהט,"100,000","100,006","277,836","177,836",277.84%,2.778194108,300,152.1333333,50.71%,"1,826",333,547.85%
סחנין,"150,000","150,009","111,001","-38,999",74.00%,0.739960936,350,361.9,103.40%,307,429,71.56%
סי מול אשדוד,"100,000","100,006","46,647","-53,353",46.65%,0.466444813,400,381.1166667,95.28%,122,250,48.96%
סינמה סיטי ראשון לציון,"180,000","179,986","124,445","-55,555",69.14%,0.691416888,500,455.7666667,91.15%,273,360,75.85%
עד הלום כאסח,"240,000","240,002","170,649","-69,351",71.10%,0.711033533,600,375.5,62.58%,454,400,113.61%
עזריאלי חיפה,"170,000","170,004","115,096","-54,904",67.70%,0.677017776,450,473.2166667,105.16%,243,378,64.38%
עיר ימים,"220,000","220,007","174,464","-45,536",79.30%,0.792991268,600,612.5833333,102.10%,285,367,77.67%
עפולה,"240,000","240,002","204,444","-35,556",85.18%,0.851842401,600,543.25,90.54%,376,400,94.08%
ערד,"150,000","150,009","127,549","-22,451",85.03%,0.850276183,600,511.6166667,85.27%,249,250,99.72%
פארק הקרח,"390,000","390,011","450,655","60,655",115.55%,1.155494101,750,794.9166667,105.99%,567,520,109.02%
פולג)גנדן( - נתניה,"180,000","179,986","183,610","3,610",102.01%,1.020133121,420,320.1,76.21%,574,429,133.85%
פרינדלי סביונים,,,"17,663","17,663",,,,198.5,,89,,
צמח,"160,000","159,991","115,261","-44,739",72.04%,0.720420649,500,381.1833333,76.24%,302,320,94.50%
קדימה,"170,000","170,004","136,032","-33,968",80.02%,0.800167408,400,447,111.75%,304,425,71.60%
קניון בת ים,"170,000","170,004","157,430","-12,570",92.61%,0.926038858,500,400.6166667,80.12%,393,340,115.58%
קניון לב חדרה,"120,000","120,001","76,650","-43,350",63.88%,0.63874626,400,366.9333333,91.73%,209,300,69.63%
"קרוקס ביל""ו","310,000","310,000","304,753","-5,247",98.31%,0.983073742,650,690.25,106.19%,442,477,92.57%
קרוקס בני ברק,"220,000","228,474","194,522","-25,478",88.42%,0.851396395,300,216.4333333,72.14%,899,762,118.01%
קרוקס חוצות המפרץ,"240,000","240,002","199,242","-40,758",83.02%,0.830167207,550,550.5333333,100.10%,362,436,82.94%
קריון,"250,000","250,015","169,260","-80,740",67.70%,0.67699982,500,472.5166667,94.50%,358,500,71.64%
קרית אונו,"320,000","320,013","302,227","-17,773",94.45%,0.944421414,650,683.6,105.17%,442,492,89.80%
קרית גת סלומון כאסח,,,"34,134","34,134",,,,294.55,,116,,
ראש פינה,"100,000","100,006","53,908","-46,092",53.91%,0.539048757,350,316.9166667,90.55%,170,286,59.53%
ראשונים,"150,000","150,009","105,426","-44,574",70.28%,0.702795432,500,368.6833333,73.74%,286,300,95.31%
רחובות,"270,000","270,010","203,464","-66,536",75.36%,0.753541498,550,485.7166667,88.31%,419,491,85.33%
רננים,"250,000","250,015","244,351","-5,649",97.74%,0.977343679,550,573.2333333,104.22%,426,455,93.77%
שבעת הכוכבים,"320,000","320,013","263,917","-56,083",82.47%,0.824706184,550,642.0333333,116.73%,411,582,70.65%
שדרות,"180,000","179,986","197,453","17,453",109.70%,1.097045881,530,484.9333333,91.50%,407,340,119.90%
שער בנימין,"90,000","93,474","79,507","-10,493",88.34%,0.850575454,450,340.15,75.59%,234,208,112.53%
שער הצפון,"160,000","159,991","177,569","17,569",110.98%,1.109866555,450,405.7166667,90.16%,438,356,123.10%
שפיים,"180,000","179,986","142,677","-37,323",79.26%,0.792710933,550,459.1833333,83.49%,311,327,94.95%
שרונים,"120,000","120,001","89,699","-30,301",74.75%,0.747481438,360,328.8833333,91.36%,273,333,81.82%
ת. מרכזית י-ם עודפים,"200,000","200,012","168,664","-31,336",84.33%,0.843271654,550,428.6166667,77.93%,394,364,108.21%
