סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
מעלה אדומים,"140,000","139,996","147,109","7,109",105.08%,1.050806952,450,438.4333333,97.43%,336,311,107.85%
מרום נווה,"130,000","130,014","107,867","-22,133",82.97%,0.829660575,430,351.7,81.79%,307,302,101.44%
נהריה,"200,000","200,012","183,064","-16,936",91.53%,0.915265734,400,381.45,95.36%,480,500,95.98%
נוף הגליל,"330,000","329,995","354,748","24,748",107.50%,1.075010137,600,744.9166667,124.15%,476,550,86.59%
"נמל ת""א","120,000","120,001","99,498","-20,502",82.91%,0.829140757,450,368.6833333,81.93%,270,267,101.20%
נעלי איה,,,"21,844","21,844",,,,,,,,
נצרת,"400,000","399,993","487,320","87,320",121.83%,1.218321621,600,564.8333333,94.14%,863,667,129.42%
סבן רהט,"220,000","220,007","253,084","33,084",115.04%,1.150345898,500,264.95,52.99%,955,440,217.09%
סחנין,"160,000","159,991","126,009","-33,991",78.76%,0.78760249,350,331.8,94.80%,380,457,83.08%
סי מול אשדוד,"100,000","100,006","58,883","-41,117",58.88%,0.588793572,500,449.5166667,89.90%,131,200,65.49%
סינמה סיטי ראשון לציון,"160,000","159,991","131,797","-28,203",82.37%,0.82378015,520,524.7333333,100.91%,251,308,81.63%
עד הלום כאסח,"200,000","200,012","211,876","11,876",105.94%,1.059314091,650,566.4166667,87.14%,374,308,121.56%
עזריאלי חיפה,"170,000","170,004","133,611","-36,389",78.59%,0.785925802,520,470.7666667,90.53%,284,327,86.81%
עיר ימים,"210,000","209,994","204,960","-5,040",97.60%,0.976028982,600,618.55,103.09%,331,350,94.68%
עפולה,"280,000","279,992","269,552","-10,448",96.27%,0.962712578,580,595.8666667,102.74%,452,483,93.71%
ערד,"150,000","150,009","124,209","-25,791",82.81%,0.828010786,600,541.1166667,90.19%,230,250,91.81%
פארק הקרח,"520,000","519,994","465,133","-54,867",89.45%,0.894496629,800,900.5,112.56%,517,650,79.47%
פולג)גנדן( - נתניה,"180,000","179,986","194,223","14,223",107.90%,1.079099874,400,325.4666667,81.37%,597,450,132.62%
פרינדלי סביונים,"140,000","139,996","82,128","-57,872",58.66%,0.586641761,400,324.8,81.20%,253,350,72.25%
צים מעלות,,,"139,640","139,640",,,,467.8833333,,298,,
צמח,"150,000","150,009","158,058","8,058",105.37%,1.053659647,500,421.8,84.36%,375,300,124.90%
קדימה,"160,000","159,991","130,600","-29,400",81.62%,0.816294854,450,431.7333333,95.94%,303,356,85.08%
קניון בת ים,"170,000","170,004","162,040","-7,960",95.32%,0.95315622,500,375.2166667,75.04%,432,340,127.01%
קניון לב חדרה,"100,000","100,006","94,477","-5,523",94.48%,0.944709717,500,340.1333333,68.03%,278,200,138.87%
"קרוקס ביל""ו","320,000","320,013","358,664","38,664",112.08%,1.120778906,720,780.1166667,108.35%,460,444,103.44%
קרוקס בני ברק,"180,000","173,342","225,940","45,940",125.52%,1.303432059,200,245.0833333,122.54%,922,867,106.37%
קרוקס חוצות המפרץ,"330,000","329,995","314,158","-15,842",95.20%,0.952007818,600,540.2166667,90.04%,582,550,105.74%
קריון,"280,000","279,992","225,654","-54,346",80.59%,0.805930527,500,456.25,91.25%,495,560,88.32%
קרית אונו,"280,000","279,992","296,494","16,494",105.89%,1.058937541,650,702.15,108.02%,422,431,98.03%
קרית גת סלומון כאסח,"150,000","150,009","120,945","-29,055",80.63%,0.806252825,650,543.3833333,83.60%,223,231,96.44%
ראש פינה,"120,000","120,001","76,156","-43,844",63.46%,0.634624795,380,329.6333333,86.75%,231,316,73.16%
ראשונים,"140,000","139,996","128,214","-11,786",91.58%,0.91584231,480,550.0166667,114.59%,233,292,79.93%
רחובות,"230,000","229,989","230,391",391,100.17%,1.00174591,550,588.05,106.92%,392,418,93.69%
רננים,"240,000","240,002","220,573","-19,427",91.91%,0.919046466,520,529.9,101.90%,416,462,90.19%
שבעת הכוכבים,"290,000","290,005","243,715","-46,285",84.04%,0.840382373,550,454.8833333,82.71%,536,527,101.61%
שדרות,"170,000","170,004","187,091","17,091",110.05%,1.100509988,570,358.4166667,62.88%,522,298,175.02%
שער בנימין,"80,000","67,106","73,052","-6,948",91.32%,1.088608023,350,324.25,92.64%,225,192,117.51%
שער הצפון,"170,000","170,004","181,723","11,723",106.90%,1.068931907,450,378.7166667,84.16%,480,378,127.01%
שפיים,"180,000","179,986","185,233","5,233",102.91%,1.029152212,520,405.3666667,77.96%,457,346,132.02%
שרונים,"120,000","120,001","88,082","-31,918",73.40%,0.7340123,400,321.75,80.44%,274,300,91.25%
ת. מרכזית י-ם עודפים,"180,000","179,986","172,698","-7,302",95.94%,0.959510462,500,411.1666667,82.23%,420,360,116.68%
Total,"22,530,000","22,456,033","21,735,913","-794,087",96.48%,0.967931989,"56,610",55124.95,97.38%,394,397,99.40%
