סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
חולון עזריאלי,"160,000","134,186","172,907","12,907",108.07%,1.288560431,530,691.15,130.50%,250,253,98.74%
חונים קונים כאסח,"240,000","201,292","244,992","4,992",102.08%,1.217096059,578,596.0333333,103.16%,411,348,117.98%
חוצות המפרץ,"440,000","425,820","628,135","188,135",142.76%,1.475118454,770,862.6,111.97%,728,553,131.74%
טייבה,"140,000","135,480","143,649","3,649",102.61%,1.060298716,385,358.0666667,92.96%,401,352,114.06%
טמרה,"180,000","174,180","159,880","-20,120",88.82%,0.917902917,366,127.5166667,34.85%,"1,254",476,263.40%
ים המלח,"160,000","154,830","166,400","6,400",104.00%,1.07472796,433,411.5333333,94.97%,404,357,113.17%
יס פלאנט באר שבע,"80,000","77,430","72,283","-7,717",90.35%,0.933521116,337,292.6333333,86.83%,247,230,107.52%
ישפרו סנטר מודיעין,"370,000","358,050","360,768","-9,232",97.50%,1.00759042,626,695.6166667,111.13%,519,572,90.66%
כפר סבא הירוקה,"200,000","193,560","150,874","-49,126",75.44%,0.7794705,462,468.2,101.29%,322,419,76.95%
כרכור,"420,000","406,440","495,963","75,963",118.09%,1.220260235,819,796.7333333,97.34%,622,497,125.36%
כרמי גת,"160,000","154,830","176,825","16,825",110.52%,1.14206097,530,539.9833333,101.95%,327,292,112.02%
כרמיאל,"450,000","435,480","579,456","129,456",128.77%,1.330614494,578,568.2666667,98.35%,"1,020",754,135.29%
מגדל,"100,000","96,780","78,018","-21,982",78.02%,0.806133809,193,,,,503,
מודיעין עזריאלי,"310,000","300,000","380,150","70,150",122.63%,1.2671655,578,814.1666667,140.91%,467,519,89.93%
מול הים,"520,000","503,220","531,576","11,576",102.23%,1.056348754,867,930.65,107.38%,571,581,98.37%
מיגייט גאולה,"140,000","135,480","131,779","-8,221",94.13%,0.972683348,433,446.5166667,103.04%,295,313,94.40%
מיי בייבי,"160,000","154,830","167,486","7,486",104.68%,1.081742427,193,114.3666667,59.38%,"1,464",804,182.16%
מלחה - ירושלים,"380,000","367,740","414,044","34,044",108.96%,1.125916164,626,553.4,88.41%,748,588,127.35%
מלכת שבא,"630,000","609,690","739,231","109,231",117.34%,1.212469813,"1,252",1340.566667,107.09%,551,487,113.22%
ממילא,"370,000","358,050","380,820","10,820",102.92%,1.06359461,626,754.0166667,120.46%,505,572,88.29%
מעלה אדומים,"180,000","174,180","167,938","-12,062",93.30%,0.96416615,433,418.0166667,96.47%,402,402,99.95%
מצפה רמון,"100,000","83,876","58,006","-41,994",58.01%,0.691571486,289,174.4,60.37%,333,290,114.56%
מרום נווה,"160,000","154,830","157,931","-2,069",98.71%,1.020026287,433,442.3833333,102.09%,357,357,99.92%
נהריה,"200,000","193,560","215,321","15,321",107.66%,1.112423641,433,438.5,101.19%,491,447,109.93%
נוף הגליל,"360,000","348,390","359,014",-986,99.73%,1.030495651,674,591.1,87.69%,607,517,117.51%
"נמל ת""א","120,000","116,130","107,241","-12,759",89.37%,0.923459485,337,390.7666667,115.94%,274,345,79.65%
נעלי איה,,,"29,798","29,798",,,,,,,,
נצרת,"430,000","416,130","475,434","45,434",110.57%,1.142513998,530,451.9166667,85.33%,"1,052",786,133.90%
סבן רהט,"250,000","241,950","226,782","-23,218",90.71%,0.937308741,385,340.8,88.48%,665,628,105.94%
סחנין,"150,000","145,170","133,546","-16,454",89.03%,0.919929875,366,346.9333333,94.81%,385,397,97.03%
סי מול אשדוד,"120,000","116,130","97,798","-22,202",81.50%,0.84213881,433,360.85,83.27%,271,268,101.13%
סינמה סיטי ראשון לציון,"220,000","212,910","194,099","-25,901",88.23%,0.911649805,481,553.2333333,114.90%,351,442,79.34%
עד הלום כאסח,"210,000","203,220","237,239","27,239",112.97%,1.16739937,578,714.1166667,123.60%,332,352,94.45%
עזריאלי חיפה,"180,000","174,180","203,016","23,016",112.79%,1.165555001,481,386.8,80.34%,525,362,145.09%
עיר ימים,"290,000","280,650","351,663","61,663",121.26%,1.253031997,626,703.8333333,112.45%,500,448,111.43%
עפולה,"320,000","309,690","353,622","33,622",110.51%,1.141857793,607,688.2333333,113.45%,514,510,100.65%
ערד,"150,000","145,170","169,315","19,315",112.88%,1.166320659,578,623.65,107.94%,271,251,108.05%
פארק הקרח,"710,000","687,090","750,148","40,148",105.65%,1.09177575,963,816.5,84.79%,919,714,128.76%
פולג)גנדן( - נתניה,"200,000","193,560","254,563","54,563",127.28%,1.315161707,433,385.8333333,89.04%,660,447,147.71%
פסגת זאב כאסח,"220,000","184,522","241,438","21,438",109.74%,1.30845303,578,742.5666667,128.52%,325,319,101.81%
פרינדלי סביונים,"110,000","106,440","114,750","4,750",104.32%,1.07806802,385,320.8166667,83.29%,358,276,129.44%
צים מעלות,"160,000","154,830","175,828","15,828",109.89%,1.135620875,433,485.0166667,111.93%,363,357,101.46%
צמח,"160,000","154,830","172,532","12,532",107.83%,1.114332623,433,388.2333333,89.59%,444,357,124.38%
קדימה,"180,000","174,180","185,367","5,367",102.98%,1.064226375,433,488.95,112.83%,379,402,94.32%
קניון בת ים,"220,000","212,910","264,880","44,880",120.40%,1.244092903,481,488.1333333,101.38%,543,442,122.71%
קניון לב חדרה,"130,000","125,820","153,884","23,884",118.37%,1.223046972,366,314.6,85.97%,489,344,142.26%
"קרוקס ביל""ו","450,000","435,480","512,224","62,224",113.83%,1.176227611,770,843.3333333,109.47%,607,565,107.45%
קרוקס בני ברק,"250,000","240,734","240,077","-9,923",96.03%,0.997272674,241,208.4,86.57%,"1,152","1,000",115.20%
קרוקס חוצות המפרץ,"370,000","358,050","442,778","72,778",119.67%,1.236636364,674,644.6833333,95.64%,687,531,129.30%
קריון,"200,000","154,830","192,265","-7,735",96.13%,1.241780663,481,314.6666667,65.35%,611,322,190.01%
קרית אונו,"380,000","367,740","372,045","-7,955",97.91%,1.011706314,674,717.0833333,106.38%,519,546,95.10%
קרית גת סלומון כאסח,"130,000","125,820","116,002","-13,998",89.23%,0.921963917,530,502.9833333,94.97%,231,238,97.08%
קרית שמונה,,,,,,,,43.6,,,,
ראש פינה,"100,000","96,780","93,728","-6,272",93.73%,0.968469209,356,347.7333333,97.60%,270,272,99.23%
ראשונים,"180,000","174,180","167,669","-12,331",93.15%,0.962619991,481,513.7,106.69%,326,362,90.22%
רחובות,"300,000","290,310","318,408","18,408",106.14%,1.096786504,559,555.5333333,99.47%,573,520,110.27%
רננים,"250,000","241,950","281,230","31,230",112.49%,1.162345815,578,514.3666667,89.03%,547,419,130.56%
שבעת הכוכבים,"370,000","358,050","379,539","9,539",102.58%,1.06001726,626,626.1,100.03%,606,572,105.97%
שדרות,"220,000","212,910","233,780","13,780",106.26%,1.098021418,578,356.15,61.64%,656,368,178.13%
שער בנימין,"100,000","83,850","97,319","-2,681",97.32%,1.160635063,337,295.0833333,87.55%,330,249,132.56%
שער הצפון,"190,000","183,870","243,473","53,473",128.14%,1.324156143,433,375.7666667,86.72%,648,424,152.70%
שפיים,"200,000","193,560","198,076","-1,924",99.04%,1.023329562,481,379.0166667,78.72%,523,402,130.00%
שרונים,"120,000","116,130","123,490","3,490",102.91%,1.063373547,289,289.95,100.37%,426,402,105.95%
ת. מרכזית י-ם עודפים,"220,000","212,910","218,070","-1,930",99.12%,1.024234559,481,508.55,105.62%,429,442,96.97%
